"('date', '')","('close', 'ezj.l')","('high', 'ezj.l')","('low', 'ezj.l')","('open', 'ezj.l')","('volume', 'ezj.l')"
2025-02-19,497.1789855957031,509.47601108646614,492.6800805281404,504.87712424870483,7829340
2025-02-20,489.79998779296875,493.79998779296875,485.0,486.79998779296875,3422760
2025-02-21,492.6000061035156,495.3999938964844,489.79998779296875,491.20001220703125,3759990
2025-02-24,492.0,497.5,486.70001220703125,494.0,8605204
2025-02-25,491.3999938964844,501.6000061035156,486.3999938964844,487.8999938964844,3222071
2025-02-26,499.20001220703125,501.79998779296875,492.6000061035156,493.1000061035156,3699091
2025-02-27,505.20001220703125,507.79998779296875,491.29998779296875,495.79998779296875,4351876
2025-02-28,505.3999938964844,511.6000061035156,502.79998779296875,507.6000061035156,3939915
2025-03-03,503.3999938964844,507.79998779296875,494.1000061035156,502.20001220703125,2748657
2025-03-04,478.20001220703125,502.20001220703125,477.20001220703125,498.0,5326907
2025-03-05,504.79998779296875,507.0,483.8999938964844,485.70001220703125,5549799
2025-03-06,504.6000061035156,519.6339721679688,497.3999938964844,509.20001220703125,5641237
2025-03-07,499.70001220703125,502.3999938964844,488.29998779296875,498.20001220703125,2860344
2025-03-10,494.0,506.79998779296875,491.29998779296875,502.20001220703125,7178447
2025-03-11,484.79998779296875,495.0,476.20001220703125,484.20001220703125,4537499
2025-03-12,481.1000061035156,489.1499938964844,477.8999938964844,483.8999938964844,2602597
2025-03-13,473.79998779296875,483.0,471.29998779296875,477.1000061035156,3067167
2025-03-14,486.6000061035156,491.0,475.8999938964844,475.8999938964844,2664687
2025-03-17,489.0,492.7919921875,486.0,487.8999938964844,1650530
2025-03-18,491.6000061035156,503.3999938964844,490.0,491.20001220703125,9147484
2025-03-19,492.29998779296875,495.70001220703125,485.0,489.0,2260464
2025-03-20,490.0,501.20001220703125,489.0,492.8999938964844,7311877
2025-03-21,485.79998779296875,491.2569885253906,474.6679992675781,483.20001220703125,5006052
2025-03-24,484.5,492.79998779296875,482.79998779296875,491.3999938964844,5187286
2025-03-25,489.0,493.1000061035156,482.6000061035156,486.8999938964844,6700484
2025-03-26,480.6000061035156,498.0,476.20001220703125,491.29998779296875,2968552
2025-03-27,473.20001220703125,479.0,462.79998779296875,472.0,4505492
2025-03-28,459.5,475.5,459.29998779296875,470.3999938964844,6212367
2025-03-31,442.29998779296875,459.1000061035156,441.20001220703125,452.0,5384434
2025-04-01,452.3999938964844,455.6000061035156,446.6000061035156,447.5,3793677
2025-04-02,450.5,457.29998779296875,448.2349853515625,450.6000061035156,3575274
2025-04-03,441.0,449.5,438.1210021972656,440.20001220703125,4033263
2025-04-04,431.5,452.29998779296875,424.0,446.6000061035156,9855997
2025-04-07,427.3999938964844,447.6000061035156,401.04998779296875,409.0,8490564
2025-04-08,437.6000061035156,445.70001220703125,428.60198974609375,437.70001220703125,5440740
2025-04-09,432.79998779296875,438.0979919433594,423.79998779296875,425.5,4818516
2025-04-10,452.79998779296875,479.1419982910156,452.79998779296875,474.70001220703125,9007301
2025-04-11,453.1000061035156,458.20001220703125,441.70001220703125,455.6000061035156,2475707
2025-04-14,469.29998779296875,474.3999938964844,458.1000061035156,464.29998779296875,3501200
2025-04-15,473.3999938964844,475.79998779296875,468.3999938964844,471.29998779296875,2626919
2025-04-16,475.0,476.79998779296875,468.79998779296875,472.79998779296875,1948421
2025-04-17,468.5,477.20001220703125,465.5,473.3999938964844,2229602
