"('date', '')","('close', 'bp.l')","('high', 'bp.l')","('low', 'bp.l')","('open', 'bp.l')","('volume', 'bp.l')"
2025-03-05,408.20001220703125,416.20001220703125,405.6499938964844,413.04998779296875,44752858
2025-03-06,409.1000061035156,413.5,406.5,413.25,65366412
2025-03-07,413.45001220703125,415.8500061035156,409.8999938964844,411.0,43666529
2025-03-10,418.45001220703125,422.4230041503906,414.1499938964844,415.3999938964844,46811623
2025-03-11,411.70001220703125,422.1499938964844,410.3999938964844,419.3500061035156,39596852
2025-03-12,416.95001220703125,416.95001220703125,407.8999938964844,414.1499938964844,40079176
2025-03-13,417.8500061035156,420.5,412.6000061035156,413.5,30381819
2025-03-14,429.0,429.1000061035156,417.29998779296875,419.1000061035156,51564755
2025-03-17,431.8500061035156,433.20001220703125,427.8999938964844,429.25,42880741
2025-03-18,437.79998779296875,441.3680114746094,433.8869934082031,434.0,33049836
2025-03-19,442.3500061035156,443.3999938964844,435.6499938964844,435.6499938964844,39490699
2025-03-20,448.5,448.5,442.2030029296875,444.3500061035156,53475526
2025-03-21,450.0,450.01800537109375,443.6499938964844,447.0,129841217
2025-03-24,440.79998779296875,449.0,440.4169921875,447.6000061035156,28081446
2025-03-25,441.8999938964844,449.5,439.70001220703125,441.54998779296875,82148900
2025-03-26,447.0,450.1000061035156,442.8500061035156,444.79998779296875,30169898
2025-03-27,446.0,446.6499938964844,441.1499938964844,442.70001220703125,55300657
2025-03-28,435.5,442.75,433.95001220703125,439.6499938964844,40556610
2025-03-31,436.1000061035156,438.3999938964844,431.8999938964844,434.25,43785191
2025-04-01,433.0,437.6499938964844,430.3500061035156,435.8500061035156,25402881
2025-04-02,433.1000061035156,439.0039978027344,432.54998779296875,433.1499938964844,34314699
2025-04-03,400.45001220703125,424.75,397.29998779296875,422.20001220703125,57403350
2025-04-04,370.70001220703125,400.25,365.1000061035156,400.04998779296875,69140272
2025-04-07,348.95001220703125,368.20001220703125,342.5,347.8500061035156,77746410
2025-04-08,354.25,364.6000061035156,352.29998779296875,358.79998779296875,52382300
2025-04-09,332.95001220703125,344.6499938964844,329.20001220703125,342.20001220703125,109096037
2025-04-10,341.6000061035156,369.25,341.6000061035156,365.5,46714392
2025-04-11,331.70001220703125,340.75,329.79998779296875,338.6000061035156,80521952
2025-04-14,341.20001220703125,350.25,338.0,339.95001220703125,60724929
2025-04-15,346.75,351.1000061035156,342.0,342.3999938964844,37146060
2025-04-16,354.25,355.8999938964844,339.4800109863281,340.3999938964844,42450199
2025-04-17,359.3999938964844,360.79998779296875,351.3500061035156,353.1000061035156,57541666
